"","samples","geiger counts"
"1",1,221
"2",2,230
"3",3,223
"4",4,213
"5",5,242
"6",6,223
"7",7,243
"8",8,224
"9",9,226
"10",10,233
"11",11,191
"12",12,209
"13",13,197
"14",14,207
"15",15,218
"16",16,199
"17",17,179
"18",18,209
"19",19,165
"20",20,187
"21",21,207
"22",22,225
"23",23,213
"24",24,215
"25",25,211
"26",26,229
"27",27,204
"28",28,194
"29",29,198
"30",30,176
"31",31,191
"32",32,188
"33",33,201
"34",34,174
"35",35,200
"36",36,174
"37",37,163
"38",38,194
"39",39,172
"40",40,174
"41",41,178
"42",42,173
"43",43,152
"44",44,173
"45",45,176
"46",46,174
"47",47,159
"48",48,173
"49",49,176
"50",50,174
"51",51,183
"52",52,166
"53",53,153
"54",54,143
"55",55,175
"56",56,161
"57",57,157
"58",58,154
"59",59,149
"60",60,157
"61",61,163
"62",62,160
"63",63,154
"64",64,166
"65",65,162
"66",66,175
"67",67,157
"68",68,135
"69",69,163
"70",70,151
"71",71,133
"72",72,138
"73",73,134
"74",74,152
"75",75,135
"76",76,168
"77",77,128
"78",78,148
"79",79,136
"80",80,139
"81",81,145
"82",82,133
"83",83,143
"84",84,135
"85",85,120
"86",86,144
"87",87,121
"88",88,134
"89",89,162
"90",90,110
"91",91,138
"92",92,132
"93",93,115
"94",94,116
"95",95,143
"96",96,133
"97",97,143
"98",98,127
"99",99,132
"100",100,105
"101",101,138
"102",102,131
"103",103,131
"104",104,121
"105",105,128
"106",106,126
"107",107,115
"108",108,117
"109",109,132
"110",110,114
"111",111,130
"112",112,131
"113",113,128
"114",114,129
"115",115,111
"116",116,114
"117",117,113
"118",118,119
"119",119,111
"120",120,107
"121",121,111
"122",122,106
"123",123,108
"124",124,110
"125",125,110
"126",126,110
"127",127,123
"128",128,108
"129",129,100
"130",130,116
"131",131,97
"132",132,111
"133",133,109
"134",134,120
"135",135,111
"136",136,110
"137",137,109
"138",138,116
"139",139,104
"140",140,107
"141",141,110
"142",142,112
"143",143,91
"144",144,91
"145",145,95
"146",146,92
"147",147,107
"148",148,113
"149",149,116
"150",150,94
"151",151,115
"152",152,129
"153",153,124
"154",154,119
"155",155,119
"156",156,122
"157",157,117
"158",158,116
"159",159,114
"160",160,110
"161",161,103
"162",162,128
"163",163,115
"164",164,109
"165",165,122
"166",166,126
"167",167,109
"168",168,123
"169",169,92
"170",170,103
"171",171,118
"172",172,85
"173",173,102
"174",174,115
"175",175,132
"176",176,102
"177",177,130
"178",178,121
"179",179,89
"180",180,105
