Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #12,Run #12,Run #12,Run #13,Run #13,Run #13,Run #14,Run #14,Run #14,Run #15,Run #15,Run #15,Run #16,Run #16,Run #16,Run #17,Run #17,Run #17,Run #18,Run #18,Run #18,Run #19,Run #19,Run #19,Run #20,Run #20,Run #20,Run #21,Run #21,Run #21,Run #22,Run #22,Run #22
Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample)
01/30/2020 09:17:15 am,2.00,76,01/30/2020 09:21:57 am,2.00,74,01/30/2020 09:24:38 am,2.00,81,01/30/2020 09:40:09 am,1.00,7,01/30/2020 09:46:36 am,1.00,0,01/30/2020 09:53:28 am,1.00,1,01/30/2020 09:56:46 am,1.00,1,01/30/2020 10:00:29 am,1.00,0,01/30/2020 10:04:44 am,1.00,7,01/30/2020 10:09:42 am,1.00,6,01/30/2020 10:13:22 am,1.00,5,01/30/2020 10:17:11 am,1.00,0,01/30/2020 10:21:03 am,1.00,0,01/30/2020 10:30:03 am,1.00,11,01/30/2020 10:35:15 am,1.00,9,01/30/2020 10:38:11 am,1.00,7,01/30/2020 10:40:43 am,1.00,10,01/30/2020 10:46:31 am,1.00,6,01/30/2020 10:50:31 am,1.00,4,01/30/2020 10:54:33 am,1.00,1,01/30/2020 10:58:52 am,1.00,1,01/30/2020 11:02:41 am,1.00,2
01/30/2020 09:17:17 am,4.00,75,01/30/2020 09:21:59 am,4.00,76,01/30/2020 09:24:40 am,4.00,76,01/30/2020 09:40:10 am,2.00,11,01/30/2020 09:46:37 am,2.00,0,01/30/2020 09:53:29 am,2.00,1,01/30/2020 09:56:47 am,2.00,1,01/30/2020 10:00:30 am,2.00,2,01/30/2020 10:04:45 am,2.00,6,01/30/2020 10:09:43 am,2.00,4,01/30/2020 10:13:23 am,2.00,2,01/30/2020 10:17:12 am,2.00,1,01/30/2020 10:21:04 am,2.00,0,01/30/2020 10:30:04 am,2.00,14,01/30/2020 10:35:16 am,2.00,9,01/30/2020 10:38:12 am,2.00,12,01/30/2020 10:40:44 am,2.00,8,01/30/2020 10:46:32 am,2.00,8,01/30/2020 10:50:32 am,2.00,6,01/30/2020 10:54:34 am,2.00,0,01/30/2020 10:58:53 am,2.00,2,01/30/2020 11:02:42 am,2.00,3
01/30/2020 09:17:19 am,6.00,69,01/30/2020 09:22:01 am,6.00,71,01/30/2020 09:24:42 am,6.00,74,01/30/2020 09:40:11 am,3.00,12,01/30/2020 09:46:38 am,3.00,1,01/30/2020 09:53:30 am,3.00,2,01/30/2020 09:56:48 am,3.00,0,01/30/2020 10:00:31 am,3.00,0,01/30/2020 10:04:46 am,3.00,4,01/30/2020 10:09:44 am,3.00,4,01/30/2020 10:13:24 am,3.00,2,01/30/2020 10:17:13 am,3.00,0,01/30/2020 10:21:05 am,3.00,1,01/30/2020 10:30:05 am,3.00,9,01/30/2020 10:35:17 am,3.00,12,01/30/2020 10:38:13 am,3.00,10,01/30/2020 10:40:45 am,3.00,5,01/30/2020 10:46:33 am,3.00,4,01/30/2020 10:50:33 am,3.00,2,01/30/2020 10:54:35 am,3.00,3,01/30/2020 10:58:54 am,3.00,3,01/30/2020 11:02:43 am,3.00,1
01/30/2020 09:17:21 am,8.00,61,01/30/2020 09:22:03 am,8.00,63,01/30/2020 09:24:44 am,8.00,65,01/30/2020 09:40:12 am,4.00,7,01/30/2020 09:46:39 am,4.00,1,01/30/2020 09:53:31 am,4.00,1,01/30/2020 09:56:49 am,4.00,0,01/30/2020 10:00:32 am,4.00,0,01/30/2020 10:04:47 am,4.00,2,01/30/2020 10:09:45 am,4.00,8,01/30/2020 10:13:25 am,4.00,3,01/30/2020 10:17:14 am,4.00,0,01/30/2020 10:21:06 am,4.00,1,01/30/2020 10:30:06 am,4.00,12,01/30/2020 10:35:18 am,4.00,6,01/30/2020 10:38:14 am,4.00,8,01/30/2020 10:40:46 am,4.00,8,01/30/2020 10:46:34 am,4.00,6,01/30/2020 10:50:34 am,4.00,4,01/30/2020 10:54:36 am,4.00,0,01/30/2020 10:58:55 am,4.00,1,01/30/2020 11:02:44 am,4.00,4
01/30/2020 09:17:23 am,10.00,86,01/30/2020 09:22:05 am,10.00,87,01/30/2020 09:24:46 am,10.00,74,01/30/2020 09:40:13 am,5.00,14,01/30/2020 09:46:40 am,5.00,0,01/30/2020 09:53:32 am,5.00,0,01/30/2020 09:56:50 am,5.00,0,01/30/2020 10:00:33 am,5.00,1,01/30/2020 10:04:48 am,5.00,9,01/30/2020 10:09:46 am,5.00,7,01/30/2020 10:13:26 am,5.00,1,01/30/2020 10:17:15 am,5.00,0,01/30/2020 10:21:07 am,5.00,0,01/30/2020 10:30:07 am,5.00,8,01/30/2020 10:35:19 am,5.00,11,01/30/2020 10:38:15 am,5.00,10,01/30/2020 10:40:47 am,5.00,13,01/30/2020 10:46:35 am,5.00,8,01/30/2020 10:50:35 am,5.00,4,01/30/2020 10:54:37 am,5.00,1,01/30/2020 10:58:56 am,5.00,1,01/30/2020 11:02:45 am,5.00,4
01/30/2020 09:17:25 am,12.00,78,01/30/2020 09:22:07 am,12.00,86,01/30/2020 09:24:48 am,12.00,69,01/30/2020 09:40:14 am,6.00,8,01/30/2020 09:46:41 am,6.00,2,01/30/2020 09:53:33 am,6.00,0,01/30/2020 09:56:51 am,6.00,1,01/30/2020 10:00:34 am,6.00,0,01/30/2020 10:04:49 am,6.00,4,01/30/2020 10:09:47 am,6.00,9,01/30/2020 10:13:27 am,6.00,1,01/30/2020 10:17:16 am,6.00,1,01/30/2020 10:21:08 am,6.00,1,01/30/2020 10:30:08 am,6.00,7,01/30/2020 10:35:20 am,6.00,10,01/30/2020 10:38:16 am,6.00,10,01/30/2020 10:40:48 am,6.00,3,01/30/2020 10:46:36 am,6.00,3,01/30/2020 10:50:36 am,6.00,6,01/30/2020 10:54:38 am,6.00,0,01/30/2020 10:58:57 am,6.00,0,01/30/2020 11:02:46 am,6.00,1
01/30/2020 09:17:27 am,14.00,86,01/30/2020 09:22:09 am,14.00,67,01/30/2020 09:24:50 am,14.00,78,01/30/2020 09:40:15 am,7.00,13,01/30/2020 09:46:42 am,7.00,1,01/30/2020 09:53:34 am,7.00,0,01/30/2020 09:56:52 am,7.00,0,01/30/2020 10:00:35 am,7.00,0,01/30/2020 10:04:50 am,7.00,1,01/30/2020 10:09:48 am,7.00,5,01/30/2020 10:13:28 am,7.00,2,01/30/2020 10:17:17 am,7.00,0,01/30/2020 10:21:09 am,7.00,2,01/30/2020 10:30:09 am,7.00,8,01/30/2020 10:35:21 am,7.00,8,01/30/2020 10:38:17 am,7.00,10,01/30/2020 10:40:49 am,7.00,3,01/30/2020 10:46:37 am,7.00,3,01/30/2020 10:50:37 am,7.00,6,01/30/2020 10:54:39 am,7.00,2,01/30/2020 10:58:58 am,7.00,1,01/30/2020 11:02:47 am,7.00,4
01/30/2020 09:17:29 am,16.00,62,01/30/2020 09:22:11 am,16.00,67,01/30/2020 09:24:52 am,16.00,71,01/30/2020 09:40:16 am,8.00,9,01/30/2020 09:46:43 am,8.00,0,01/30/2020 09:53:35 am,8.00,1,01/30/2020 09:56:53 am,8.00,1,01/30/2020 10:00:36 am,8.00,0,01/30/2020 10:04:51 am,8.00,3,01/30/2020 10:09:49 am,8.00,5,01/30/2020 10:13:29 am,8.00,6,01/30/2020 10:17:18 am,8.00,0,01/30/2020 10:21:10 am,8.00,1,01/30/2020 10:30:10 am,8.00,13,01/30/2020 10:35:22 am,8.00,11,01/30/2020 10:38:18 am,8.00,16,01/30/2020 10:40:50 am,8.00,10,01/30/2020 10:46:38 am,8.00,9,01/30/2020 10:50:38 am,8.00,4,01/30/2020 10:54:40 am,8.00,1,01/30/2020 10:58:59 am,8.00,1,01/30/2020 11:02:48 am,8.00,4
01/30/2020 09:17:31 am,18.00,78,01/30/2020 09:22:13 am,18.00,70,01/30/2020 09:24:54 am,18.00,81,01/30/2020 09:40:17 am,9.00,15,01/30/2020 09:46:44 am,9.00,0,01/30/2020 09:53:36 am,9.00,0,01/30/2020 09:56:54 am,9.00,0,01/30/2020 10:00:37 am,9.00,0,01/30/2020 10:04:52 am,9.00,5,01/30/2020 10:09:50 am,9.00,8,01/30/2020 10:13:30 am,9.00,4,01/30/2020 10:17:19 am,9.00,0,01/30/2020 10:21:11 am,9.00,0,01/30/2020 10:30:11 am,9.00,5,01/30/2020 10:35:23 am,9.00,10,01/30/2020 10:38:19 am,9.00,8,01/30/2020 10:40:51 am,9.00,8,01/30/2020 10:46:39 am,9.00,6,01/30/2020 10:50:39 am,9.00,6,01/30/2020 10:54:41 am,9.00,0,01/30/2020 10:59:00 am,9.00,3,01/30/2020 11:02:49 am,9.00,5
