Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5
Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample)
01/30/2020 08:54:12 am,1.00,32,01/30/2020 09:06:40 am,2.00,68,01/30/2020 09:10:27 am,1.00,41,01/30/2020 09:11:52 am,1.00,37,01/30/2020 09:13:07 am,1.00,36
01/30/2020 08:54:13 am,2.00,34,01/30/2020 09:06:42 am,4.00,68,01/30/2020 09:10:28 am,2.00,27,01/30/2020 09:11:53 am,2.00,41,01/30/2020 09:13:08 am,2.00,40
01/30/2020 08:54:14 am,3.00,43,01/30/2020 09:06:44 am,6.00,89,01/30/2020 09:10:29 am,3.00,31,01/30/2020 09:11:54 am,3.00,36,01/30/2020 09:13:09 am,3.00,34
01/30/2020 08:54:15 am,4.00,43,01/30/2020 09:06:46 am,8.00,74,01/30/2020 09:10:30 am,4.00,49,01/30/2020 09:11:55 am,4.00,37,01/30/2020 09:13:10 am,4.00,27
01/30/2020 08:54:16 am,5.00,44,01/30/2020 09:06:48 am,10.00,74,01/30/2020 09:10:31 am,5.00,37,01/30/2020 09:11:56 am,5.00,29,01/30/2020 09:13:11 am,5.00,29
01/30/2020 08:54:17 am,6.00,32,01/30/2020 09:06:50 am,12.00,92,01/30/2020 09:10:32 am,6.00,22,01/30/2020 09:11:57 am,6.00,36,01/30/2020 09:13:12 am,6.00,39
01/30/2020 08:54:18 am,7.00,39,01/30/2020 09:06:52 am,14.00,71,01/30/2020 09:10:33 am,7.00,38,01/30/2020 09:11:58 am,7.00,36,01/30/2020 09:13:13 am,7.00,28
01/30/2020 08:54:19 am,8.00,30,01/30/2020 09:06:54 am,16.00,65,01/30/2020 09:10:34 am,8.00,27,01/30/2020 09:11:59 am,8.00,39,01/30/2020 09:13:14 am,8.00,39
01/30/2020 08:54:20 am,9.00,50,01/30/2020 09:06:56 am,18.00,75,01/30/2020 09:10:35 am,9.00,40,01/30/2020 09:12:00 am,9.00,31,01/30/2020 09:13:15 am,9.00,36
01/30/2020 08:54:21 am,10.00,29,01/30/2020 09:06:58 am,20.00,94,01/30/2020 09:10:36 am,10.00,33,01/30/2020 09:12:01 am,10.00,30,01/30/2020 09:13:16 am,10.00,35
01/30/2020 08:54:22 am,11.00,47,01/30/2020 09:07:00 am,22.00,78,01/30/2020 09:10:37 am,11.00,39,01/30/2020 09:12:02 am,11.00,23,01/30/2020 09:13:17 am,11.00,41
01/30/2020 08:54:23 am,12.00,39,01/30/2020 09:07:02 am,24.00,66,01/30/2020 09:10:38 am,12.00,40,01/30/2020 09:12:03 am,12.00,43,01/30/2020 09:13:18 am,12.00,43
01/30/2020 08:54:24 am,13.00,31,01/30/2020 09:07:04 am,26.00,71,01/30/2020 09:10:39 am,13.00,35,01/30/2020 09:12:04 am,13.00,39,01/30/2020 09:13:19 am,13.00,47
01/30/2020 08:54:25 am,14.00,24,01/30/2020 09:07:06 am,28.00,67,01/30/2020 09:10:40 am,14.00,38,01/30/2020 09:12:05 am,14.00,44,01/30/2020 09:13:20 am,14.00,36
01/30/2020 08:54:26 am,15.00,34,01/30/2020 09:07:08 am,30.00,64,01/30/2020 09:10:41 am,15.00,37,01/30/2020 09:12:06 am,15.00,28,01/30/2020 09:13:21 am,15.00,37
01/30/2020 08:54:27 am,16.00,33,01/30/2020 09:07:10 am,32.00,65,01/30/2020 09:10:42 am,16.00,35,01/30/2020 09:12:07 am,16.00,44,01/30/2020 09:13:22 am,16.00,29
01/30/2020 08:54:28 am,17.00,44,01/30/2020 09:07:12 am,34.00,76,01/30/2020 09:10:43 am,17.00,35,01/30/2020 09:12:08 am,17.00,36,01/30/2020 09:13:23 am,17.00,28
01/30/2020 08:54:29 am,18.00,36,01/30/2020 09:07:14 am,36.00,75,01/30/2020 09:10:44 am,18.00,42,01/30/2020 09:12:09 am,18.00,38,01/30/2020 09:13:24 am,18.00,32
01/30/2020 08:54:30 am,19.00,37,01/30/2020 09:07:16 am,38.00,70,01/30/2020 09:10:45 am,19.00,47,01/30/2020 09:12:10 am,19.00,36,01/30/2020 09:13:25 am,19.00,33
01/30/2020 08:54:31 am,20.00,26,01/30/2020 09:07:18 am,40.00,58,01/30/2020 09:10:46 am,20.00,29,01/30/2020 09:12:11 am,20.00,26,01/30/2020 09:13:26 am,20.00,42
01/30/2020 08:54:32 am,21.00,36,01/30/2020 09:07:20 am,42.00,93,01/30/2020 09:10:47 am,21.00,36,01/30/2020 09:12:12 am,21.00,48,01/30/2020 09:13:27 am,21.00,42
01/30/2020 08:54:33 am,22.00,32,01/30/2020 09:07:22 am,44.00,87,01/30/2020 09:10:48 am,22.00,34,01/30/2020 09:12:13 am,22.00,45,01/30/2020 09:13:28 am,22.00,28
01/30/2020 08:54:34 am,23.00,40,01/30/2020 09:07:24 am,46.00,69,01/30/2020 09:10:49 am,23.00,39,01/30/2020 09:12:14 am,23.00,29,01/30/2020 09:13:29 am,23.00,37
01/30/2020 08:54:35 am,24.00,35,01/30/2020 09:07:26 am,48.00,76,01/30/2020 09:10:50 am,24.00,31,01/30/2020 09:12:15 am,24.00,34,01/30/2020 09:13:30 am,24.00,39
01/30/2020 08:54:36 am,25.00,31,01/30/2020 09:07:28 am,50.00,70,01/30/2020 09:10:51 am,25.00,46,01/30/2020 09:12:16 am,25.00,24,01/30/2020 09:13:31 am,25.00,41
01/30/2020 08:54:37 am,26.00,34,01/30/2020 09:07:30 am,52.00,74,01/30/2020 09:10:52 am,26.00,37,01/30/2020 09:12:17 am,26.00,34,01/30/2020 09:13:32 am,26.00,36
01/30/2020 08:54:38 am,27.00,23,01/30/2020 09:07:32 am,54.00,80,01/30/2020 09:10:53 am,27.00,23,01/30/2020 09:12:18 am,27.00,41,01/30/2020 09:13:33 am,27.00,38
01/30/2020 08:54:39 am,28.00,35,01/30/2020 09:07:34 am,56.00,82,01/30/2020 09:10:54 am,28.00,38,01/30/2020 09:12:19 am,28.00,36,01/30/2020 09:13:34 am,28.00,35
01/30/2020 08:54:40 am,29.00,43,01/30/2020 09:07:36 am,58.00,78,01/30/2020 09:10:55 am,29.00,41,01/30/2020 09:12:20 am,29.00,36,01/30/2020 09:13:35 am,29.00,41
01/30/2020 08:54:41 am,30.00,37,01/30/2020 09:07:38 am,60.00,83,01/30/2020 09:10:56 am,30.00,41,01/30/2020 09:12:21 am,30.00,30,01/30/2020 09:13:36 am,30.00,33
01/30/2020 08:54:42 am,31.00,30,01/30/2020 09:07:40 am,62.00,86,01/30/2020 09:10:57 am,31.00,30,01/30/2020 09:12:22 am,31.00,30,01/30/2020 09:13:37 am,31.00,47
01/30/2020 08:54:43 am,32.00,32,01/30/2020 09:07:42 am,64.00,78,01/30/2020 09:10:58 am,32.00,36,01/30/2020 09:12:23 am,32.00,28,01/30/2020 09:13:38 am,32.00,36
01/30/2020 08:54:44 am,33.00,42,01/30/2020 09:07:44 am,66.00,83,01/30/2020 09:10:59 am,33.00,35,01/30/2020 09:12:24 am,33.00,39,01/30/2020 09:13:39 am,33.00,42
01/30/2020 08:54:45 am,34.00,32,01/30/2020 09:07:46 am,68.00,66,01/30/2020 09:11:00 am,34.00,38,01/30/2020 09:12:25 am,34.00,33,01/30/2020 09:13:40 am,34.00,38
01/30/2020 08:54:46 am,35.00,37,01/30/2020 09:07:48 am,70.00,80,01/30/2020 09:11:01 am,35.00,39,01/30/2020 09:12:26 am,35.00,35,01/30/2020 09:13:41 am,35.00,35
01/30/2020 08:54:47 am,36.00,36,01/30/2020 09:07:50 am,72.00,60,01/30/2020 09:11:02 am,36.00,22,01/30/2020 09:12:27 am,36.00,35,01/30/2020 09:13:42 am,36.00,37
01/30/2020 08:54:48 am,37.00,37,01/30/2020 09:07:52 am,74.00,73,01/30/2020 09:11:03 am,37.00,29,01/30/2020 09:12:28 am,37.00,33,01/30/2020 09:13:43 am,37.00,42
01/30/2020 08:54:49 am,38.00,46,01/30/2020 09:07:54 am,76.00,68,01/30/2020 09:11:04 am,38.00,36,01/30/2020 09:12:29 am,38.00,26,01/30/2020 09:13:44 am,38.00,39
01/30/2020 08:54:50 am,39.00,38,01/30/2020 09:07:56 am,78.00,61,01/30/2020 09:11:05 am,39.00,31,01/30/2020 09:12:30 am,39.00,24,01/30/2020 09:13:45 am,39.00,29
01/30/2020 08:54:51 am,40.00,43,01/30/2020 09:07:58 am,80.00,74,01/30/2020 09:11:06 am,40.00,31,01/30/2020 09:12:31 am,40.00,32,01/30/2020 09:13:46 am,40.00,37
01/30/2020 08:54:52 am,41.00,34,01/30/2020 09:08:00 am,82.00,78,01/30/2020 09:11:07 am,41.00,28,01/30/2020 09:12:32 am,41.00,45,01/30/2020 09:13:47 am,41.00,39
01/30/2020 08:54:53 am,42.00,41,01/30/2020 09:08:02 am,84.00,66,01/30/2020 09:11:08 am,42.00,31,01/30/2020 09:12:33 am,42.00,40,01/30/2020 09:13:48 am,42.00,47
01/30/2020 08:54:54 am,43.00,33,01/30/2020 09:08:04 am,86.00,90,01/30/2020 09:11:09 am,43.00,43,01/30/2020 09:12:34 am,43.00,53,01/30/2020 09:13:49 am,43.00,46
01/30/2020 08:54:55 am,44.00,43,01/30/2020 09:08:06 am,88.00,67,01/30/2020 09:11:10 am,44.00,25,01/30/2020 09:12:35 am,44.00,35,01/30/2020 09:13:50 am,44.00,40
01/30/2020 08:54:56 am,45.00,36,01/30/2020 09:08:08 am,90.00,79,01/30/2020 09:11:11 am,45.00,27,01/30/2020 09:12:36 am,45.00,24,01/30/2020 09:13:51 am,45.00,29
01/30/2020 08:54:57 am,46.00,28,01/30/2020 09:08:10 am,92.00,65,01/30/2020 09:11:12 am,46.00,37,01/30/2020 09:12:37 am,46.00,30,01/30/2020 09:13:52 am,46.00,37
01/30/2020 08:54:58 am,47.00,41,01/30/2020 09:08:12 am,94.00,71,01/30/2020 09:11:13 am,47.00,32,01/30/2020 09:12:38 am,47.00,38,01/30/2020 09:13:53 am,47.00,29
01/30/2020 08:54:59 am,48.00,28,01/30/2020 09:08:14 am,96.00,70,01/30/2020 09:11:14 am,48.00,25,01/30/2020 09:12:39 am,48.00,39,01/30/2020 09:13:54 am,48.00,26
01/30/2020 08:55:00 am,49.00,41,01/30/2020 09:08:16 am,98.00,56,01/30/2020 09:11:15 am,49.00,40,01/30/2020 09:12:40 am,49.00,34,01/30/2020 09:13:55 am,49.00,36
01/30/2020 08:55:01 am,50.00,32,01/30/2020 09:08:18 am,100.00,75,01/30/2020 09:11:16 am,50.00,31,01/30/2020 09:12:41 am,50.00,28,01/30/2020 09:13:56 am,50.00,31
01/30/2020 08:55:02 am,51.00,29,01/30/2020 09:08:20 am,102.00,83,01/30/2020 09:11:17 am,51.00,34,01/30/2020 09:12:42 am,51.00,41,01/30/2020 09:13:57 am,51.00,41
01/30/2020 08:55:03 am,52.00,38,01/30/2020 09:08:22 am,104.00,70,01/30/2020 09:11:18 am,52.00,42,01/30/2020 09:12:43 am,52.00,34,01/30/2020 09:13:58 am,52.00,39
01/30/2020 08:55:04 am,53.00,35,01/30/2020 09:08:24 am,106.00,64,01/30/2020 09:11:19 am,53.00,39,01/30/2020 09:12:44 am,53.00,43,01/30/2020 09:13:59 am,53.00,32
01/30/2020 08:55:05 am,54.00,30,01/30/2020 09:08:26 am,108.00,80,01/30/2020 09:11:20 am,54.00,35,01/30/2020 09:12:45 am,54.00,44,01/30/2020 09:14:00 am,54.00,30
01/30/2020 08:55:06 am,55.00,35,01/30/2020 09:08:28 am,110.00,42,01/30/2020 09:11:21 am,55.00,32,01/30/2020 09:12:46 am,55.00,43,01/30/2020 09:14:01 am,55.00,31
01/30/2020 08:55:07 am,56.00,27,01/30/2020 09:08:30 am,112.00,78,01/30/2020 09:11:22 am,56.00,34,01/30/2020 09:12:47 am,56.00,37,01/30/2020 09:14:02 am,56.00,39
01/30/2020 08:55:08 am,57.00,21,01/30/2020 09:08:32 am,114.00,72,01/30/2020 09:11:23 am,57.00,25,01/30/2020 09:12:48 am,57.00,26,01/30/2020 09:14:03 am,57.00,35
01/30/2020 08:55:09 am,58.00,41,01/30/2020 09:08:34 am,116.00,88,01/30/2020 09:11:24 am,58.00,39,01/30/2020 09:12:49 am,58.00,37,01/30/2020 09:14:04 am,58.00,40
01/30/2020 08:55:10 am,59.00,40,01/30/2020 09:08:36 am,118.00,69,01/30/2020 09:11:25 am,59.00,25,01/30/2020 09:12:50 am,59.00,38,01/30/2020 09:14:05 am,59.00,27
01/30/2020 08:55:11 am,60.00,30,01/30/2020 09:08:38 am,120.00,82,01/30/2020 09:11:26 am,60.00,37,01/30/2020 09:12:51 am,60.00,32,01/30/2020 09:14:06 am,60.00,35
